SimTime,ETROC2_tb.ETROC2_inst.ETROC2_IO_v7_inst.FC_Int
11007361000,1
11019841000,0
11032321000,1
11044801000,0
11057281000,1
11069761000,0
11082241000,1
11094721000,0
11107201000,1
11119681000,0
11132161000,1
11144641000,0
11157121000,1
11169601000,0
11182081000,1
11194561000,0
11207041000,1
11219521000,0
11232001000,1
11244481000,0
11256961000,1
11269441000,0
11281921000,1
11294401000,0
11306881000,1
11319361000,0
11331841000,1
11344321000,0
11356801000,1
11369281000,0
11381761000,1
11394241000,0
11406721000,1
11419201000,0
11431681000,1
11444161000,0
11456641000,1
11469121000,0
11481601000,1
11494081000,0
11506561000,1
11519041000,0
11531521000,1
11544001000,0
11556481000,1
11568961000,0
11581441000,1
11593921000,0
11606401000,1
11618881000,0
11631361000,1
11643841000,0
11656321000,1
11668801000,0
11681281000,1
11693761000,0
11706241000,1
11718721000,0
11731201000,1
11743681000,0
11756161000,1
11768641000,0
11781121000,1
11793601000,0
11806081000,1
11818561000,0
11831041000,1
11843521000,0
11856001000,1
11868481000,0
11880961000,1
11893441000,0
11905921000,1
11918401000,0
11930881000,1
11943361000,0
11955841000,1
11968321000,0
11980801000,1
11993281000,0
12005761000,1
12018241000,0
12030721000,1
12043201000,0
12055681000,1
12068161000,0
12080641000,1
12093121000,0
12105601000,1
12118081000,0
12130561000,1
12143041000,0
12155521000,1
12168001000,0
12180481000,1
12192961000,0
12205441000,1
12217921000,0
12230401000,1
12242881000,0
12255361000,1
12267841000,0
12280321000,1
12292801000,0
12305281000,1
12317761000,0
12330241000,1
12342721000,0
12355201000,1
12367681000,0
12380161000,1
12392641000,0
12405121000,1
12417601000,0
12430081000,1
12442561000,0
12455041000,1
12467521000,0
12480001000,1
12492481000,0
12504961000,1
12517441000,0
12529921000,1
12542401000,0
12554881000,1
12567361000,0
12579841000,1
12592321000,0
12604801000,1
12617281000,0
12629761000,1
12642241000,0
12654721000,1
12667201000,0
12679681000,1
12692161000,0
12704641000,1
12717121000,0
12729601000,1
12742081000,0
12754561000,1
12767041000,0
12779521000,1
12792001000,0
12804481000,1
12816961000,0
12829441000,1
12841921000,0
12854401000,1
12866881000,0
12879361000,1
12891841000,0
12904321000,1
12916801000,0
12929281000,1
12941761000,0
12954241000,1
12966721000,0
12979201000,1
12991681000,0
13004161000,1
13016641000,0
13029121000,1
13041601000,0
13054081000,1
13066561000,0
13079041000,1
13091521000,0
13104001000,1
13116481000,0
13128961000,1
13141441000,0
13153921000,1
13166401000,0
13178881000,1
13191361000,0
13203841000,1
13216321000,0
13228801000,1
13241281000,0
13253761000,1
13266241000,0
13278721000,1
13291201000,0
13303681000,1
13316161000,0
13328641000,1
13341121000,0
13353601000,1
13366081000,0
13378561000,1
13391041000,0
13403521000,1
13416001000,0
13428481000,1
13440961000,0
13453441000,1
13465921000,0
13478401000,1
13490881000,0
13503361000,1
13515841000,0
13528321000,1
13540801000,0
13553281000,1
13565761000,0
13578241000,1
13590721000,0
13603201000,1
13615681000,0
13628161000,1
13640641000,0
13653121000,1
13665601000,0
13678081000,1
13690561000,0
13703041000,1
13715521000,0
13728001000,1
13740481000,0
13752961000,1
13765441000,0
13777921000,1
13790401000,0
13802881000,1
13815361000,0
13827841000,1
13840321000,0
13852801000,1
13865281000,0
13877761000,1
13890241000,0
13902721000,1
13915201000,0
13927681000,1
13940161000,0
13952641000,1
13965121000,0
13977601000,1
13990081000,0
14002561000,1
14015041000,0
14027521000,1
14040001000,0
14052481000,1
14064961000,0
14077441000,1
14089921000,0
14102401000,1
14114881000,0
14127361000,1
14139841000,0
14152321000,1
14164801000,0
14177281000,1
14189761000,0
14202241000,1
14214721000,0
14227201000,1
14239681000,0
14252161000,1
14264641000,0
14277121000,1
14289601000,0
14302081000,1
14314561000,0
14327041000,1
14339521000,0
14352001000,1
14364481000,0
14376961000,1
14389441000,0
14401921000,1
14414401000,0
14426881000,1
14439361000,0
14451841000,1
14464321000,0
14476801000,1
14489281000,0
14501761000,1
14514241000,0
14526721000,1
14539201000,0
14551681000,1
14564161000,0
14576641000,1
14589121000,0
14601601000,1
14614081000,0
14626561000,1
14639041000,0
14651521000,1
14664001000,0
14676481000,1
14688961000,0
14701441000,1
14713921000,0
14726401000,1
14738881000,0
14751361000,1
14763841000,0
14776321000,1
14788801000,0
14801281000,1
14813761000,0
14826241000,1
14838721000,0
14851201000,1
14863681000,0
14876161000,1
14888641000,0
14901121000,1
14913601000,0
14926081000,1
14938561000,0
14951041000,1
14963521000,0
14976001000,1
14988481000,0
15000961000,1
15013441000,0
15025921000,1
15038401000,0
15050881000,1
15063361000,0
15075841000,1
15088321000,0
15100801000,1
15113281000,0
15125761000,1
15138241000,0
15150721000,1
15163201000,0
15175681000,1
15188161000,0
15200641000,1
15213121000,0
15225601000,1
15238081000,0
15250561000,1
15263041000,0
15275521000,1
15288001000,0
15300481000,1
15312961000,0
15325441000,1
